"","model","term","estimate","std.error","t.statistic","p.value","n"
"(Intercept)...1","overall_lm","(Intercept)",702.377448193268,159.501383970043,4.40358215528202,1.17090849894741e-05,1083
"spi_comp...2","overall_lm","spi_comp",0.286414727883271,0.0156271299809294,18.3280441279235,1.60953028515499e-65,1083
"di_score...3","overall_lm","di_score",0.217248719972855,0.115474820164343,1.88135144669347,0.0601936788885454,1083
"log_gdppc...4","overall_lm","log_gdppc",3.30006267114264,0.186616624592331,17.6836478440852,1.2345099847864e-61,1083
"population...5","overall_lm","population",-1.21517197915636e-09,8.49791235592262e-10,-1.42996530001801,0.153017001841418,1083
"year_fct...6","overall_lm","year_fct",-0.338901157597795,0.0790409105416938,-4.28766768089072,1.96749445104177e-05,1083
"(Intercept)...7","high_inc_lm","(Intercept)",721.798277161095,162.842905586182,4.43248218006706,1.27435351700287e-05,332
"spi_comp...8","high_inc_lm","spi_comp",0.355563975838364,0.0170293332032076,20.8795007764245,4.62787219498653e-62,332
"di_score...9","high_inc_lm","di_score",1.32708223180998,0.136883776498191,9.69495630351427,1.07584138291548e-19,332
"log_gdppc...10","high_inc_lm","log_gdppc",-1.62637559546556,0.28557067175802,-5.69517725841147,2.75320264845162e-08,332
"population...11","high_inc_lm","population",-1.16678001073326e-08,2.26962346656263e-09,-5.14085277986821,4.72482592536636e-07,332
"year_fct...12","high_inc_lm","year_fct",-0.330185345163321,0.081191316513048,-4.06675688169508,5.98293085482889e-05,332
"(Intercept)...13","upper_mid_lm","(Intercept)",355.826051021522,235.231701071788,1.51266198135825,0.131509725913848,282
"spi_comp...14","upper_mid_lm","spi_comp",0.174313752024353,0.0139294904502819,12.5140077913493,9.21484250012609e-29,282
"di_score...15","upper_mid_lm","di_score",-0.523635489983127,0.128067317802939,-4.08875190771825,5.69369848160033e-05,282
"log_gdppc...16","upper_mid_lm","log_gdppc",1.45156030205032,0.710102359228296,2.0441564278533,0.0418870353284862,282
"population...17","upper_mid_lm","population",-1.34908463230495e-09,5.09032092077765e-10,-2.65029386811008,0.00850637262294354,282
"year_fct...18","upper_mid_lm","year_fct",-0.152271038716581,0.117187498641933,-1.29937954543978,0.194898024650758,282
"(Intercept)...19","lower_mid_lm","(Intercept)",897.641319103997,299.577845089984,2.99635414906724,0.00296514914327287,300
"spi_comp...20","lower_mid_lm","spi_comp",0.382217438772999,0.0262707606446246,14.5491576716568,1.70629393025429e-36,300
"di_score...21","lower_mid_lm","di_score",-0.392891055791529,0.187382025834173,-2.09673822258291,0.0368710221368946,300
"log_gdppc...22","lower_mid_lm","log_gdppc",5.06167469121476,0.750349647902858,6.74575473629069,8.07991981072826e-11,300
"population...23","lower_mid_lm","population",-3.22310314237695e-09,7.13709439016301e-10,-4.51598783227433,9.13354922782848e-06,300
"year_fct...24","lower_mid_lm","year_fct",-0.443620952979471,0.148645644262375,-2.98441945729962,0.00307970592435013,300
"(Intercept)...25","low_inc_lm","(Intercept)",353.414116722275,388.404068999787,0.909913528023487,0.364211642656863,169
"spi_comp...26","low_inc_lm","spi_comp",0.169651614020134,0.0441323334102258,3.84415690063703,0.000173105594588126,169
"di_score...27","low_inc_lm","di_score",-0.00342545584147902,0.319742682381265,-0.0107131641480209,0.991465396082809,169
"log_gdppc...28","low_inc_lm","log_gdppc",4.21316653157625,0.965652814646549,4.36302413007346,2.26856673163525e-05,169
"population...29","low_inc_lm","population",-3.24934780283775e-08,9.01687139767985e-09,-3.60363108170074,0.000416480943032567,169
"year_fct...30","low_inc_lm","year_fct",-0.166465782037167,0.193053472987319,-0.862278100783513,0.389801325036449,169
