"model","term","estimate","std_error","ci_low","ci_high"
"FD","(Intercept)",1.61909572826843,0.0994576366166594,1.42415876049977,1.81403269603708
"FD","di_score",-0.216740157658949,0.355089856190053,-0.912716275791453,0.479235960473555
"FD","plm::lag(di_score, 1)",-0.632255268384467,0.340549193569844,-1.29973168778136,0.0352211510124274
"FD","plm::lag(di_score, 2)",0.664081721328155,0.459095506148367,-0.235745470722644,1.56390891337895
"FD","log_gdppc",0.17674678534447,0.761707616864839,-1.31620014371061,1.66969371439955
"FD","factor(year)2019",-1.30932673127328,0.193634236013497,-1.68884983385973,-0.929803628686824
"FD","factor(year)2020",-0.65017097492709,0.254961935906885,-1.14989636930458,-0.150445580549596
"FD","factor(year)2021",2.49212350503393,0.230228790073166,2.04087507649053,2.94337193357734
"FD","factor(year)2022",0.349917982696686,0.178665556640511,-0.000266508318715553,0.700102473712087
"TWFE","di_score",-0.449035253961377,0.525261901093976,-1.47854858010557,0.580478072182816
"TWFE","plm::lag(di_score, 1)",-0.333774395111408,0.368236037304619,-1.05551702822846,0.387968238005645
"TWFE","plm::lag(di_score, 2)",0.712203845135275,0.550227714525622,-0.366242475334943,1.79065016560549
"TWFE","log_gdppc",-0.111819263087921,1.14893940543492,-2.36374049774036,2.14010197156452
"TWFE","factor(year)2019",0.301100109546935,0.211304293065055,-0.113056304860573,0.715256523954442
"TWFE","factor(year)2020",2.54964960855748,0.335850615618362,1.89138240194549,3.20791681516947
"TWFE","factor(year)2021",7.34821005555933,0.429516786248496,6.50635715451228,8.19006295660638
"TWFE","factor(year)2022",6.87781807126271,0.458468365876867,5.97922007414405,7.77641606838137
"TWFE","factor(year)2023",8.12648035748147,0.50809415951394,7.13061580483415,9.1223449101288
